time_stamp,Tair,Tsurf,5.8 cm,0 cm,-15 cm
2018-09-03 16:00:00,6.574269,6.206811,6.93774182543831,6.24591417685576,2.13
2018-09-03 17:00:00,6.742904,4.791687,6.17399076438221,5.30589545416439,2.22
2018-09-03 18:00:00,6.501248,4.317144,5.1968371738526,4.52495756097903,2.28
2018-09-03 19:00:00,3.426118,1.19324,1.55577936923606,2.94779111618743,2.31
2018-09-03 20:00:00,2.642933,0.85758,-0.184498128245139,1.72008475523023,2.3
2018-09-03 21:00:00,2.186282,1.0824272,0.061651928350045,1.50310902283479,2.25
2018-09-03 22:00:00,2.028229,0.9036256,-0.055331444701267,1.25650842158865,2.18
2018-09-03 23:00:00,2.310224,1.3376015,0.144641738476651,1.13997110214603,2.1
2018-09-04 00:00:00,2.031741,1.0170499,0.112442803654346,1.00434181756634,2.02
2018-09-04 01:00:00,1.371243,0.7380317,-0.015655883966019,0.844954845870802,1.94
2018-09-04 02:00:00,0.9597453,0.49826347,0.047087560720172,0.7409977521217,1.86
2018-09-04 03:00:00,0.9190807,0.6398313,-0.451851596511972,0.543231359404103,1.79
2018-09-04 04:00:00,1.914726,1.4529296,0.200830829808353,0.522842356388651,1.71
2018-09-04 05:00:00,1.845849,1.625221479,0.380283423639753,0.52095682406781,1.65
2018-09-04 06:00:00,2.878432,2.3803459,1.68430968877607,0.935242837715975,1.59
2018-09-04 07:00:00,3.242612,1.862174,2.90777764069645,1.76634750270807,1.54
2018-09-04 08:00:00,3.11637,2.429945,3.53651408407433,2.58833996748848,1.49
2018-09-04 09:00:00,1.424027,1.535361,2.36908417363566,2.56354598461257,1.46
2018-09-04 10:00:00,2.255958,3.111302,3.37099454905143,3.062827727046,1.48
2018-09-04 11:00:00,4.46683,4.496803,5.54754730598194,4.22715999801949,1.49
2018-09-04 12:00:00,5.082158,4.699966,5.41928601565371,4.35842566103497,1.52
2018-09-04 13:00:00,4.903546,4.358179,4.93517647656375,4.04106715649334,1.56
2018-09-04 14:00:00,5.038455,4.292416,4.57556822287438,3.76841591289684,1.61
2018-09-04 15:00:00,4.45641,4.57732,3.22010478924403,3.37083325296066,1.64
2018-09-04 16:00:00,4.94771,5.1288,3.6025079066759,3.42819198064774,1.67
2018-09-04 17:00:00,5.189332,5.260292,3.67979850622265,3.47387895525134,1.68
2018-09-04 18:00:00,5.25084,5.005556,3.69428534911367,3.38482674738265,1.71
2018-09-04 19:00:00,5.401527,4.923602,3.79442299346755,3.37518834726472,1.73
2018-09-04 20:00:00,5.273395,4.381291,3.90254487953212,3.36397843194015,1.75
2018-09-04 21:00:00,5.754223,4.754673,4.20712765996848,3.40684967259807,1.75
2018-09-04 22:00:00,6.349725,4.813322,4.50187027367304,3.42932176976694,1.78
2018-09-04 23:00:00,6.180746,4.748783,4.47376572902948,3.3855123626978,1.78
2018-09-05 00:00:00,5.92546,4.166529,4.1669959390552,3.18613311436309,1.78
2018-09-05 01:00:00,5.242884,3.370731,3.46810627290563,2.76423457325831,1.78
2018-09-05 02:00:00,4.887914,3.544625,3.43779563595569,2.65971698808107,1.78
2018-09-05 03:00:00,5.02595,3.496128,3.67239413676924,2.61169991607966,1.78
2018-09-05 04:00:00,4.567632,3.296255,3.35704348833764,2.3883619925341,1.77
2018-09-05 05:00:00,3.798531,3.173927,2.35208437448688,2.24436418902519,1.75
2018-09-05 06:00:00,3.306437,2.817016,2.16475221792803,2.13938306452326,1.72
2018-09-05 07:00:00,2.728212,2.612177,2.05077795587488,2.11959376762087,1.71
2018-09-05 08:00:00,2.440407,2.658877,2.11628927466791,2.21347650518322,1.68
2018-09-05 09:00:00,2.641937,3.272705,2.69234182460809,2.6060994308973,1.67
2018-09-05 10:00:00,2.851905,3.62397,3.20951750022749,2.98794176505629,1.65
2018-09-05 11:00:00,2.866234,3.533028,2.95140398538223,2.93065191189055,1.65
2018-09-05 12:00:00,2.752403,3.912169,3.09816197187649,3.20657903652784,1.66
2018-09-05 13:00:00,2.630351,3.808156,3.5058574131607,3.78858895735982,1.67
2018-09-05 14:00:00,2.70716,4.434019,3.90858941033991,4.41721825775136,1.68
2018-09-05 15:00:00,2.9342,4.756937,3.92729362451445,4.62801101977186,1.72
2018-09-05 16:00:00,2.411442,4.858173,3.53558494051128,4.30167194813106,1.78
2018-09-05 17:00:00,2.539918,4.595299,3.79211364097517,4.48360938862737,1.83
2018-09-05 18:00:00,2.142354,3.22196,2.97978982007515,4.04769033195953,1.88
2018-09-05 19:00:00,1.654498,2.239495,2.02416300295499,3.26713821040801,1.92
2018-09-05 20:00:00,1.296983,1.547169,1.45936732145111,2.6784499364764,1.95
2018-09-05 21:00:00,1.122265,1.165541,1.1219338078422,2.25648262278696,1.95
2018-09-05 22:00:00,0.9093735,0.8851791,0.833063033095812,1.87005236489875,1.93
2018-09-05 23:00:00,0.6478956,0.6311961,0.459809102611359,1.48525408225834,1.9
2018-09-06 00:00:00,0.7628986,0.6863435,0.661305129176185,1.42917337595861,1.85
2018-09-06 01:00:00,0.8413823,0.686276,0.769684853687352,1.39392399687773,1.8
2018-09-06 02:00:00,0.7231175,0.5285546,0.524492218785667,1.28365478192319,1.75
2018-09-06 03:00:00,0.456758,0.2644237,0.459730574736398,1.18707010305724,1.7
2018-09-06 04:00:00,0.2916559,0.2543674,0.380558112459028,1.11999998890593,1.66
2018-09-06 05:00:00,0.4608537,0.4845949,0.527242034298922,1.11842138384901,1.61
2018-09-06 06:00:00,0.5607606,0.657319,0.744145546911682,1.19563911113329,1.56
2018-09-06 07:00:00,0.3208985,0.37086404,0.694261942425214,1.27875454649615,1.52
2018-09-06 08:00:00,0.17336,0.7506221,0.643689595499552,1.32551258200851,1.48
2018-09-06 09:00:00,0.5406179,1.8340945,1.69822967533941,2.06152128721635,1.46
2018-09-06 10:00:00,0.9031018,2.4688248,2.24779228755801,2.76984401849887,1.43
2018-09-06 11:00:00,1.288076,2.667538,2.75810461802087,3.3916024658742,1.43
2018-09-06 12:00:00,1.11918,2.866518,2.76707932321466,3.69286893295191,1.45
2018-09-06 13:00:00,1.529615,3.771191,3.79122232825347,4.75824326193242,1.48
2018-09-06 14:00:00,1.806945,3.636077,3.49539856487405,4.78087126379228,1.54
2018-09-06 15:00:00,1.920823,3.719408,3.79413938549055,5.09365551119242,1.6
2018-09-06 16:00:00,2.126014,3.276459,3.58160931232914,4.89267134943123,1.67
2018-09-06 17:00:00,1.963378,2.639534,3.02839053560962,4.48230227839207,1.74
2018-09-06 18:00:00,1.775845,1.970355,1.97735415283734,3.3792613546654,1.79
2018-09-06 19:00:00,1.669028,1.609774,1.50148573258832,2.83930761501182,1.83
2018-09-06 20:00:00,1.437816,1.0676184,1.07998861837314,2.32635057346164,1.84
2018-09-06 21:00:00,1.261557,0.5296045,0.550657023982808,1.7150866666172,1.84
2018-09-06 22:00:00,1.040766,-0.0240362,0.202359292741448,1.34464797038186,1.8
2018-09-06 23:00:00,0.6216474,0.0362498,-0.051027898989446,0.878982572988889,1.77
2018-09-07 00:00:00,0.499032,0.0305657,-0.04512010301869,0.603866685968285,1.71
2018-09-07 01:00:00,0.3134577,-0.0653435,-0.058656827217476,0.432798176364656,1.66
2018-09-07 02:00:00,0.1094253,-0.1783783,-0.266759225776525,0.310059394633413,1.59
2018-09-07 03:00:00,-0.2891073,-0.4270295,-0.745860820924634,0.128972262475543,1.53
2018-09-07 04:00:00,-0.3769064,-0.4334278,-0.811736499162635,0.044464561949383,1.47
2018-09-07 05:00:00,-0.7080545,-0.7454425,-1.090152550818,-0.014481890025934,1.41
2018-09-07 06:00:00,-1.296046,-1.20467,-1.37728017374945,-0.050519289964257,1.36
2018-09-07 07:00:00,-1.117462,-0.811417,-1.07093685340874,-0.038664297617459,1.3
2018-09-07 08:00:00,-1.107911,-0.616886,-0.731076842651362,-0.008181297509793,1.25
2018-09-07 09:00:00,-1.217291,-0.617847,-0.385756205155019,0.176220905939147,1.19
2018-09-07 10:00:00,-1.159783,-0.5363907,-0.075712925630455,0.712789037619757,1.15
2018-09-07 11:00:00,-0.8733587,0.3937837,0.73493846161,1.65136067017454,1.1
2018-09-07 12:00:00,-0.6652634,0.2020541,1.53851034526411,2.19749819010252,1.08
2018-09-07 13:00:00,-0.1709947,-0.49300009,2.44306208694906,2.77797828474854,1.09
2018-09-07 14:00:00,0.9752076,0.063659,3.54221034815231,3.27881973029287,1.13
2018-09-07 15:00:00,1.465553,1.268613,5.30044707889533,4.15393487358932,1.17
2018-09-07 16:00:00,2.009237,3.120295,4.95276021546783,4.74881682702198,1.23
