time_stamp,Tair,Tsurf,35 cm,25 cm,15 cm,5 cm,0 cm,-15 cm
2018-09-01 00:00:00,1.068871,-0.258,0.615383831051702,0.588734750967319,0.541384829262427,0.37373029492926,0.433897354155931,1.6
2018-09-01 01:00:00,1.205879,-0.406,0.570225028970015,0.523785132430362,0.444497021334882,0.227718491471308,0.243673194710311,1.6
2018-09-01 02:00:00,1.107624,-0.5,0.36372461870161,0.308725872501839,0.221995619340078,0.015105822413602,0.13069582172119,1.6
2018-09-01 03:00:00,1.110584,-0.215,0.738833687401893,0.722820726339023,0.669445244416863,0.458513398454954,0.16344735584903,1.6
2018-09-01 04:00:00,0.8741302,-0.372,0.280646408622829,0.272411874941554,0.244026021693401,0.070735814776526,0.072497840769529,1.5
2018-09-01 05:00:00,0.9442673,-0.217,0.36976717598526,0.351561827231762,0.301195632735016,0.100144854012626,0.04387732982849,1.5
2018-09-01 06:00:00,0.8743095,0.055,0.640386944496413,0.637713430284862,0.617270694013826,0.455490136607352,0.192130659850136,1.4
2018-09-01 07:00:00,1.621784,0.567,1.03068280661779,1.05166495755532,1.05813385646422,0.947735385648343,0.56197311227254,1.4
2018-09-01 08:00:00,1.887917,1.472,1.73547709499161,1.77230036343184,1.80707143831575,1.73702438021945,1.17111835589952,1.4
2018-09-01 09:00:00,3.07095,2.718,2.40229376711085,2.45196859811267,2.50462481897699,2.48764239935491,1.89233861502271,1.3
2018-09-01 10:00:00,4.869389,4.816,3.69129066740044,3.74691121220968,3.81383206913006,3.86677314452504,3.14597875648707,1.3
2018-09-01 11:00:00,6.349121,7.577,5.37477693064068,5.45753448531428,5.57716153492203,5.83462341764454,5.299827970114,1.3
2018-09-01 12:00:00,5.257816,8.32,5.50511392622906,5.59240815845277,5.69955479329354,5.97290137638379,6.16438424692331,1.2
2018-09-01 13:00:00,5.156055,7.687,5.10785794665605,5.20450410324452,5.3155136180211,5.52725906044083,5.76215698424551,1.3
2018-09-01 14:00:00,4.952526,6.516,4.83045405996728,4.89956916789004,4.98132167862622,5.09435528013302,5.19053108195448,1.3
2018-09-01 15:00:00,5.52919,6.558,5.14393154686803,5.20590566805265,5.27585170913471,5.34540790315339,5.15884361523217,1.3
2018-09-01 16:00:00,5.223896,6.186,5.28707545316769,5.32930315998897,5.3694475236266,5.40965461094294,5.01667840890588,1.4
2018-09-01 17:00:00,2.782276,4.774,3.40918941679325,3.48792870110447,3.56920182050061,3.73731476811128,4.09581525707205,1.5
2018-09-01 18:00:00,2.255024,3.211,2.56530535559881,2.62910342938005,2.6949442684629,2.75089339633536,3.04168976626738,1.5
2018-09-01 19:00:00,1.985058,2.099,2.17829554689121,2.22180531935794,2.25425017406002,2.20737975407059,2.26373841102918,1.6
2018-09-01 20:00:00,1.509998,1.237,1.6462467014743,1.67427726069695,1.68819600758133,1.58798750139607,1.62587240348483,1.7
2018-09-01 21:00:00,1.408199,0.695,1.41354523825385,1.43146831633186,1.4328136471633,1.28989892166209,1.1520500799781,1.7
2018-09-01 22:00:00,2.188656,0.744,1.72877243953758,1.73194619087917,1.70322701369747,1.49321126554321,1.05588548127963,1.7
2018-09-01 23:00:00,1.815392,0.678,1.6540961436047,1.6518760441723,1.6218296896202,1.404169356632,1.00879731165509,1.7
2018-09-02 00:00:00,1.645729,0.615,1.61152538277196,1.6133087537176,1.56489022221263,1.38423326266212,0.890012028672572,1.7
2018-09-02 01:00:00,1.645729,0.43,1.38538028748911,1.38870276735815,1.36366781697689,1.20721020943762,0.74351598185649,1.7
2018-09-02 02:00:00,1.408905,0.225,1.0641691710764,1.06570763177223,1.01017736426957,0.831015547650338,0.640780112909056,1.7
2018-09-02 03:00:00,1.17202,0.273,0.976153661185606,0.958100807268408,0.887254574969745,0.714952669996535,0.611531569066244,1.6
2018-09-02 04:00:00,0.9039917,-0.016,0.506934003353592,0.508465837356255,0.484272739571622,0.306019646017717,0.443201462418415,1.6
2018-09-02 05:00:00,0.9768715,-0.072,0.429579206399524,0.4286763381524,0.398688782150032,0.238968918838054,0.283744286402737,1.6
2018-09-02 06:00:00,1.145569,0.519,0.96681157602535,0.992434995111068,1.00804814663911,0.914871211482932,0.61990448507413,1.5
2018-09-02 07:00:00,2.327171,1.685,1.57768625193421,1.63594017904046,1.69941949765882,1.72500372663666,1.29029413137306,1.5
2018-09-02 08:00:00,2.222626,2.343,1.95934391180828,2.0191908351253,2.08464300363494,2.10422675649124,1.8391133554332,1.4
2018-09-02 09:00:00,3.172745,3.812,2.58318071419797,2.65627499339814,2.74368270426049,2.8373027780417,2.69454388802575,1.4
2018-09-02 10:00:00,4.563992,5.797,3.66430263765659,3.76387964291803,3.8828320964584,4.11203917975536,4.04606496517357,1.4
2018-09-02 11:00:00,6.649147,8.86,6.12576252032829,6.18552031194764,6.22354777133364,6.78412817906445,6.35957062004889,1.4
2018-09-02 12:00:00,7.730778,10.38,7.29324654457002,7.26683718846959,7.14550019040922,7.82843879215181,8.04211790301548,1.4
2018-09-02 13:00:00,6.672504,9.39,6.23654868411586,6.3032214505987,6.35219993598395,6.75168686633805,7.40894608267917,1.4
2018-09-02 14:00:00,9.681675,11.32,7.13173092953599,7.12838437607479,7.22350999842621,7.79692723672548,9.04762025935025,1.4
2018-09-02 15:00:00,7.104118,11.89,7.4580173610932,7.54518691830089,7.65514943075823,8.28517972085791,9.68265619780738,1.5
2018-09-02 16:00:00,6.072727,10.39,7.3829572870153,7.48373835951134,7.59939767077663,8.16815714221525,9.04748915524038,1.5
